,Номенклатура,КлассТовара
331,8aba92f2-00a5-11df-9cf0-00151716f9f5,Средне продаваемый
332,91b22a66-f058-11df-9a55-001517c526f0,Средне продаваемый
333,96b7efcb-a922-11dc-abc7-00151716f9f5,Средне продаваемый
334,bc70045c-bba2-11da-ab47-0002b3552d75,Средне продаваемый
335,c3ed74ad-6ec7-11df-b6f9-001517c526f1,Средне продаваемый
336,b2f27c65-e2c0-11dd-af6f-00151716f9f5,Средне продаваемый
337,da1b8366-0be3-11df-a185-00151716f9f5,Средне продаваемый
338,6c2398b5-0a64-11dc-85f4-001731bb01c7,Средне продаваемый
339,3da2c72e-d0c7-11dd-9625-00151716f9f5,Средне продаваемый
340,12dd42f9-bba3-11da-ab47-0002b3552d75,Средне продаваемый
341,8e6cdf32-797d-11e1-84e2-001517c526f0,Средне продаваемый
342,b2f27c60-e2c0-11dd-af6f-00151716f9f5,Средне продаваемый
343,b2f27c6b-e2c0-11dd-af6f-00151716f9f5,Средне продаваемый
344,9a59dbe6-bba2-11da-ab47-0002b3552d75,Средне продаваемый
345,296faa31-3590-11e0-acff-001517c526f0,Средне продаваемый
346,6e896b4b-3d6a-11e0-afe8-001517c526f0,Средне продаваемый
347,9f05c7ac-6b57-11de-af5d-00151716f9f5,Средне продаваемый
348,d0786600-bba2-11da-ab47-0002b3552d75,Средне продаваемый
349,6dddf04a-4e35-11dd-a76c-00151716f9f5,Средне продаваемый
350,ca9eb3d2-56b5-11dd-914b-00151716f9f5,Средне продаваемый
351,c5b99644-9ecc-11df-b6d2-001517c526f0,Средне продаваемый
352,2813f9dc-92d4-11df-ac78-001517c526f0,Средне продаваемый
353,52231ff1-cc3b-11df-b5c6-001517c526f0,Средне продаваемый
354,199b6917-bba3-11da-ab47-0002b3552d75,Средне продаваемый
355,09ad4632-065d-11df-9cf0-00151716f9f5,Средне продаваемый
356,876c0aa9-2358-11df-964e-001517c526f1,Средне продаваемый
357,e090dbf5-8ff2-11e0-bdfe-00155d030b07,Средне продаваемый
358,126bac2f-824f-11df-ab10-001517c526f0,Средне продаваемый
359,87e9da81-6d40-11df-b659-001517c526f1,Средне продаваемый
360,c32965b0-bba2-11da-ab47-0002b3552d75,Средне продаваемый
361,883554a3-c916-11de-98c8-00151716f9f5,Средне продаваемый
